date,areaName,newCasesByPublishDate,cumCasesByPublishDate,newDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDateRate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDateRate
2021-01-14,South West,3712.0,,65.0,,71.0,,4153.0,73.8
2021-01-15,South West,2836.0,,66.0,4061.0,72.2,70.0,4223.0,75.1
2021-01-16,South West,2598.0,,70.0,4131.0,73.4,85.0,4308.0,76.6
2021-01-17,South West,2181.0,,29.0,4160.0,74.0,81.0,4389.0,78.0
2021-01-18,South West,2340.0,,25.0,4185.0,74.4,73.0,4462.0,79.3
2021-01-19,South West,2108.0,,118.0,4303.0,76.5,89.0,4551.0,80.9
2021-01-20,South West,2377.0,,113.0,4416.0,78.5,108.0,4659.0,82.8
2021-01-21,South West,2394.0,,83.0,4499.0,80.0,86.0,4745.0,84.4
2021-01-22,South West,2453.0,,98.0,4597.0,81.7,100.0,4845.0,86.1
2021-01-23,South West,1928.0,,105.0,4702.0,83.6,88.0,4933.0,87.7
2021-01-24,South West,1938.0,,31.0,4733.0,84.1,100.0,5033.0,89.5
2021-01-25,South West,1369.0,,33.0,4766.0,84.7,109.0,5142.0,91.4
2021-01-26,South West,1351.0,,148.0,4914.0,87.4,86.0,5228.0,92.9
2021-01-27,South West,1322.0,,148.0,5062.0,90.0,92.0,5320.0,94.6
2021-01-28,South West,2094.0,,106.0,5168.0,91.9,98.0,5418.0,96.3
2021-01-29,South West,1532.0,,111.0,5279.0,93.9,77.0,5495.0,97.7
2021-01-30,South West,1485.0,,75.0,5354.0,95.2,75.0,5570.0,99.0
2021-01-31,South West,1347.0,,40.0,5394.0,95.9,69.0,5639.0,100.3
2021-02-01,South West,1308.0,,22.0,5416.0,96.3,57.0,5696.0,101.3
2021-02-02,South West,876.0,,115.0,5531.0,98.3,76.0,5772.0,102.6
2021-02-03,South West,942.0,,108.0,5639.0,100.3,58.0,5830.0,103.7
2021-02-04,South West,1177.0,,76.0,5715.0,101.6,56.0,5886.0,104.6
2021-02-05,South West,1204.0,,71.0,5786.0,102.9,56.0,5942.0,105.6
2021-02-06,South West,1077.0,,62.0,5848.0,104.0,58.0,6000.0,106.7
2021-02-07,South West,926.0,,16.0,5864.0,104.3,60.0,6060.0,107.7
2021-02-08,South West,853.0,,18.0,5882.0,104.6,47.0,6107.0,108.6
2021-02-09,South West,765.0,,108.0,5990.0,106.5,45.0,6152.0,109.4
2021-02-10,South West,625.0,,73.0,6063.0,107.8,44.0,6196.0,110.2
2021-02-11,South West,864.0,,50.0,6113.0,108.7,33.0,6229.0,110.7
2021-02-12,South West,880.0,,48.0,6161.0,109.5,37.0,6266.0,111.4
2021-02-13,South West,831.0,,49.0,6210.0,110.4,40.0,6306.0,112.1
2021-02-14,South West,739.0,,8.0,6218.0,110.5,31.0,6337.0,112.7
2021-02-15,South West,581.0,,0.0,6212.0,110.4,31.0,6368.0,113.2
2021-02-16,South West,515.0,,78.0,6290.0,111.8,17.0,6385.0,113.5
2021-02-17,South West,539.0,,45.0,6335.0,112.6,32.0,6417.0,114.1
2021-02-18,South West,682.0,,20.0,6355.0,113.0,32.0,6449.0,114.7
2021-02-19,South West,623.0,,50.0,6405.0,113.9,24.0,6473.0,115.1
2021-02-20,South West,578.0,,24.0,6429.0,114.3,18.0,6491.0,115.4
2021-02-21,South West,508.0,,15.0,6444.0,114.6,19.0,6510.0,115.7
2021-02-22,South West,622.0,,9.0,6453.0,114.7,19.0,6529.0,116.1
2021-02-23,South West,407.0,,37.0,6490.0,115.4,17.0,6546.0,116.4
2021-02-24,South West,385.0,,38.0,6528.0,116.1,13.0,6559.0,116.6
2021-02-25,South West,432.0,,20.0,6548.0,116.4,21.0,6580.0,117.0
2021-02-26,South West,441.0,,20.0,6568.0,116.8,12.0,6592.0,117.2
2021-02-27,South West,319.0,,0.0,6567.0,116.8,12.0,6604.0,117.4
