date,areaName,newCasesByPublishDate,cumCasesByPublishDate,newAdmissions,cumAdmissions,hospitalCases,covidOccupiedMVBeds,newTestsByPublishDate,cumTestsByPublishDate,newDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDateRate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDateRate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
2020-02-28,Wales,1.0,1.0,,,,,,,,,,,,,,
2020-02-29,Wales,0.0,1.0,,,,,,,,,,,,,,
2020-03-01,Wales,0.0,1.0,,,,,,,,,,,,,,
2020-03-02,Wales,0.0,1.0,,,,,,,,,,,,,,
2020-03-03,Wales,0.0,1.0,,,,,,,,,,,,,,
2020-03-04,Wales,0.0,1.0,,,,,,,,,,,,,,
2020-03-05,Wales,1.0,2.0,,,,,,,,,,,,,,
2020-03-06,Wales,0.0,2.0,,,,,,,,,,,,,,
2020-03-07,Wales,0.0,2.0,,,,,,,,,,,,,,
2020-03-08,Wales,0.0,2.0,,,,,,,,,,,,,,
2020-03-09,Wales,2.0,4.0,,,,,,,,,,,,,,
2020-03-10,Wales,2.0,6.0,,,,,,,,,,,,,,
2020-03-11,Wales,9.0,15.0,,,,,,,,,,,,,,
2020-03-12,Wales,10.0,25.0,,,,,,,,,,,,,,
2020-03-13,Wales,13.0,38.0,,,,,,,,,,,,,,
2020-03-14,Wales,22.0,60.0,,,,,,,,,,,,,,
2020-03-15,Wales,34.0,94.0,,,,,,,,,,,,,,
2020-03-16,Wales,30.0,124.0,,,,,,,,,,3.0,3.0,0.1,,
2020-03-17,Wales,12.0,136.0,,,,,,,,1.0,,0.0,3.0,0.1,,
2020-03-18,Wales,13.0,149.0,,,,,,,,1.0,,0.0,3.0,0.1,,
2020-03-19,Wales,21.0,170.0,,,,,,,,1.0,,3.0,6.0,0.2,,
2020-03-20,Wales,21.0,191.0,,,,,,,,1.0,,2.0,8.0,0.3,,
2020-03-21,Wales,89.0,280.0,,,,,,,2.0,3.0,0.1,7.0,15.0,0.5,,
2020-03-22,Wales,67.0,347.0,,,,,,,9.0,12.0,0.4,5.0,20.0,0.6,,
2020-03-23,Wales,71.0,418.0,32.0,32.0,110.0,16.0,,,4.0,16.0,0.5,4.0,24.0,0.8,,
2020-03-24,Wales,60.0,478.0,63.0,95.0,150.0,30.0,,,1.0,17.0,0.5,9.0,33.0,1.0,,
2020-03-25,Wales,150.0,628.0,178.0,273.0,188.0,31.0,,,5.0,22.0,0.7,10.0,43.0,1.4,,
2020-03-26,Wales,113.0,741.0,107.0,380.0,203.0,36.0,,,6.0,28.0,0.9,11.0,54.0,1.7,,
2020-03-27,Wales,180.0,921.0,118.0,498.0,243.0,37.0,,,6.0,34.0,1.1,10.0,64.0,2.0,,
2020-03-28,Wales,172.0,1093.0,126.0,624.0,310.0,53.0,,,4.0,38.0,1.2,15.0,79.0,2.5,,
2020-03-29,Wales,148.0,1241.0,133.0,757.0,329.0,71.0,,,10.0,48.0,1.5,18.0,97.0,3.1,,
2020-03-30,Wales,210.0,1451.0,147.0,904.0,387.0,68.0,,,14.0,62.0,2.0,16.0,113.0,3.6,,
2020-03-31,Wales,112.0,1563.0,158.0,1062.0,439.0,81.0,,,7.0,69.0,2.2,15.0,128.0,4.1,,
2020-04-01,Wales,274.0,1837.0,207.0,1269.0,483.0,100.0,,,29.0,98.0,3.1,21.0,149.0,4.7,,
2020-04-02,Wales,284.0,2121.0,139.0,1408.0,525.0,110.0,,,19.0,117.0,3.7,28.0,177.0,5.6,,
2020-04-03,Wales,345.0,2466.0,110.0,1518.0,568.0,110.0,,,24.0,141.0,4.5,29.0,206.0,6.5,,
2020-04-04,Wales,387.0,2853.0,134.0,1652.0,596.0,122.0,,,13.0,154.0,4.9,31.0,237.0,7.5,,
2020-04-05,Wales,344.0,3197.0,134.0,1786.0,664.0,131.0,,,12.0,166.0,5.3,30.0,267.0,8.5,,
2020-04-06,Wales,302.0,3499.0,123.0,1909.0,731.0,137.0,,,27.0,193.0,6.1,20.0,287.0,9.1,,
2020-04-07,Wales,291.0,3790.0,196.0,2105.0,738.0,144.0,,,19.0,212.0,6.7,32.0,319.0,10.1,,
2020-04-08,Wales,283.0,4073.0,158.0,2263.0,816.0,150.0,,,33.0,245.0,7.8,42.0,361.0,11.4,,
2020-04-09,Wales,16.0,4089.0,126.0,2389.0,795.0,161.0,,,41.0,286.0,9.1,43.0,404.0,12.8,,
2020-04-10,Wales,502.0,4591.0,129.0,2518.0,833.0,153.0,,,29.0,315.0,10.0,25.0,429.0,13.6,,
2020-04-11,Wales,340.0,4930.0,106.0,2624.0,865.0,149.0,,,36.0,351.0,11.1,31.0,460.0,14.6,,
2020-04-12,Wales,367.0,5297.0,168.0,2792.0,910.0,153.0,,,18.0,369.0,11.7,37.0,497.0,15.8,,
2020-04-13,Wales,313.0,5610.0,130.0,2922.0,897.0,155.0,,,15.0,384.0,12.2,43.0,540.0,17.1,,
2020-04-14,Wales,238.0,5848.0,106.0,3028.0,919.0,151.0,,,19.0,403.0,12.8,26.0,566.0,18.0,,
2020-04-15,Wales,272.0,6118.0,151.0,3179.0,884.0,150.0,,,60.0,463.0,14.7,38.0,604.0,19.2,,
2020-04-16,Wales,284.0,6401.0,104.0,3283.0,844.0,155.0,,,32.0,495.0,15.7,35.0,639.0,20.3,,
2020-04-17,Wales,244.0,6645.0,151.0,3434.0,825.0,159.0,,,11.0,506.0,16.0,30.0,669.0,21.2,,
2020-04-18,Wales,292.0,6936.0,129.0,3563.0,818.0,164.0,,,28.0,534.0,16.9,32.0,701.0,22.2,,
2020-04-19,Wales,334.0,7270.0,102.0,3665.0,828.0,153.0,,,41.0,575.0,18.2,26.0,727.0,23.1,,
